step,sub,template,action_type,target,detail,authored_delay_s,real_delay_ms,move_dur_ms,step_total_ms,cumul_start_ms,appear_ms,disappear_ms,persist,issue
15,a,FLEE_LEFT,animate+react+sfx,cat,Cat Running_A + scared effect at cs-center + whoosh sfx,0.2,33,0,33,6426,6426,~8900,scared ~2.5s,
15,b,FLEE_LEFT,move+emote,cat,"Cat runs cs-right→off-left [-7 0 0] (10 units = 2500ms capped) + emote 'scared' text 'AHHHH!'",1.0,167,2500,2667,6459,6459,off-screen,cat stays at off-left,"Move is AWAITED — 2500ms. Cat runs off screen. Emote 'AHHHH!' appears but cat is moving fast — emote tracks actor position? Still visible 6500ms."
16,,EMOTIONAL_REACT,react+animate,mage,"shock-lines effect at ds-left + mage Hit_A",0.8,133,0,133,9126,9126,~11600,effect ~2.5s,"Mage reacts. Burgers should be cleaned up by now (~t=8180)."
17,a,DISAPPOINTMENT,animate+react+sfx,mage,"Mage Hit_A (AGAIN) + sad-cloud at cs-center + fail sfx",0.5,83,0,83,9259,9259,~11750,effect ~2.5s,Mage plays Hit_A a second time in a row — redundant
17,b,DISAPPOINTMENT,react,,question-marks at cs-center,1.0,167,0,167,9342,9342,~11800,effect ~2.5s,
18,,NARRATOR,text_popup,,"Text ""Fire + explode = KABOOM!..."" (large center)",1.5,250,0,250,9509,9509,11509,no — 2s auto-remove,Final narration
END,,,,,,,,,,9759,,,,Total ~9.8 seconds

SUMMARY OF ISSUES:
issue_id,category,severity,description
I1,persistence,HIGH,"Pot launched to off-top [0 5 0] but NEVER removed — floats above scene permanently"
I2,persistence,MEDIUM,"Stove spawns at cs-center and is never removed — stays visible after explosion"
I3,overlap,MEDIUM,"Pot spawns at cs-center ON TOP of stove — same position, models clip"
I4,timing,HIGH,"DRAMATIC_PAUSE only 500ms real time (GAP_SPEED=6 kills the drama). Should feel like 1.5s"
I5,timing,HIGH,"Non-move steps are 33-133ms — animations/emotes start but scene races past. Mage Casting_Long gets 83ms of focus before effects trigger"
I6,timing,MEDIUM,"Cat arrives at cs-right and gets 33ms before fleeing — no time for player to register the cat appeared"
I7,timing,MEDIUM,"OBJECT_RAIN delayAfter=333ms but burgers need ~3500ms to fall+settle. Scene advances while food is mid-air"
I8,redundancy,LOW,"Mage plays Hit_A twice in succession (steps 16 and 17a)"
I9,overlap,LOW,"Text popups 'FIRE OVERLOAD!' (step 7) and narrator text (step 1) can overlap if step 1 text hasn't auto-removed"
I10,timing,LOW,"Emote 'Maximum heat!' bubble persists 6500ms (steps 5-14) — visible through explosion and cat scenes. May be good or distracting"
I11,timing,MEDIUM,"Second FLASH + IMPACT sfx at steps 10-11 happen 50ms apart — sounds merge into one"
I12,persistence,LOW,"Cat left at off-left after fleeing — not visible but never removed from actor list"
